dep,1=的
uil,1=是
lev,1=了
zlh,1=在
hee,1=和
wop,1=我
ybh,1=有
buh,1=不
yih,1=一
jqw,1=就
vsk,1=中
rfr,1=人
yev,1=也
hfr,1=很
nir,1=你
dbt,1=都
uhs,1=上
hvr,1=会
wzd,1=为
vew,1=这
hkn,1=好
dkh,1=到
dvy,1=对
dal,1=大
tar,1=他
dgg,1=等
yks,1=要
dop,1=多
hlh,1=还
nmp,1=年
uoa,1=说
qut,1=去
llh,1=来
yuh,1=与
ngi,1=能
hbp,1=后
bzd,1=被
yiv,1=以
ggh,1=更
jdd,1=将
djr,1=但
xcx,1=小
erh,1=而
kjp,1=看
ger,1=个
ysp,1=用
goc,1=过
zvl,1=最
iik,1=吃
rha,1=让
byd,1=并
ril,1=日
keh,1=可
xwh,1=下
zor,1=做
dit,1=地
csr,1=从
mzu,1=没
xnw,1=新
lil,1=里
gzi,1=给
gkw,1=高
jwb,1=家
xdm,1=想
dms,1=点
iuv,1=出
hoh,1=或
tan,1=她
vid,1=之
tll,1=太
bfm,1=本
der,1=得
qic,1=其
baf,1=把
dig,1=第
yby,1=又
bih,1=比
qmd,1=前
mlv,1=买
nav,1=那
run,1=如
gla,1=该
aak,1=啊
bak,1=吧
uuv,1=书
igh,1=成
sop,1=所
yrh,1=元
mfr,1=们
clh,1=才
jip,1=及
nzs,1=内
qya,1=请
vet,1=者
vik,1=只
yty,1=月
vhp,1=长
sjh,1=三
xyx,1=性
tab,1=它
mak,1=吗
klh,1=开
ybs,1=由
gos,1=国
fav,1=发
xtd,1=学
iec,1=车
xyr,1=行
ffb,1=分
uiw,1=市
ugp,1=生
nek,1=呢
dhs,1=当
dmx,1=店
vih,1=至
zip,1=自
nnr,1=您
jwl,1=加
quh,1=区
uvu,1=水
qrr,1=全
aip,1=爱
tmh,1=天
vhg,1=张
mzd,1=美
xdp,1=向
myp,1=名
daf,1=打
qit,1=起
gfz,1=跟
jnj,1=金
buw,1=部
wjh,1=万
dlc,1=带
luz,1=路
yns,1=因
whw,1=王
uih,1=事
ziz,1=子
xdr,1=像
mmh,1=面
hwr,1=化
wzr,1=位
xmp,1=先
cis,1=此
mzp,1=每
tus,1=图
fhw,1=方
jyi,1=经
zbt,1=走
tss,1=同
qtt,1=却
lkt,1=老
yes,1=业
jnh,1=进
tyf,1=挺
zeb,1=则
clc,1=菜
whs,1=网
ldh,1=两
ukx,1=少
gsb,1=公
fau,1=法
zsd,1=总
lzd,1=类
xnx,1=心
iht,1=场
vff,1=真
xms,1=县
uir,1=使
wfm,1=问
hkk,1=号
xmi,1=线
kee,1=科
xmw,1=现
yyx,1=应
dkd,1=道
wfw,1=文
vjw,1=站
rup,1=入
cid,1=次
vkf,1=找
vud,1=主
dux,1=度
sic,1=斯
kyx,1=快
jim,1=机
ubf,1=手
xxd,1=写
xyh,1=型
wlp,1=外
kas,1=卡
vgh,1=正
lim,1=李
gew,1=各
nvn,1=女
ldl,1=量
tep,1=特
xis,1=西
qdg,1=强
sis,1=四
dir,1=低
qmj,1=钱
lie,1=利
dsh,1=动
mav,1=马
wjb,1=完
iuw,1=处
fzs,1=非
hvs,1=回
uud,1=数
guy,1=股
hwc,1=花
ubp,1=受
jmm,1=间
tif,1=提
mbc,1=某
jic,1=基
ujg,1=山
pyh,1=平
laf,1=拉
wjw,1=玩
anb,1=安
ige,1=称
nar,1=拿
vir,1=值
wzh,1=未
gsh,1=工
vse,1=种
ytt,1=越
ugx,1=省
xnr,1=信
dyb,1=定
hlu,1=海
tsv,1=通
uif,1=十
erg,1=尔
hwa,1=话
juf,1=据
mid,1=米
xip,1=系
myl,1=明
ikt,1=超
srg,1=算
tir,1=体
tyk,1=听
kef,1=克
lnm,1=林
liw,1=理
svg,1=岁
krt,1=款
grd,1=关
vif,1=指
grg,1=管
dml,1=电
xrp,1=选
tcw,1=条
njf,1=南
her,1=合
bxk,1=别
anf,1=按
bkf,1=报
jnp,1=近
tli,1=台
ghs,1=刚
uib,1=实
cgd,1=曾
igt,1=城
bjp,1=版
dua,1=读
bmw,1=变
jir,1=集
jck,1=叫
vbp,1=周
yti,1=约
ife,1=陈
mep,1=么
uva,1=谁
ybu,1=油
zid,1=资
gjh,1=感
cpm,1=村
mfm,1=门
ffr,1=份
gvk,1=贵
bcq,1=表
zui,1=组
jix,1=即
jwr,1=价
jmv,1=建
iad,1=差
vip,1=制
xuy,1=需
djd,1=单
blp,1=白
los,1=罗
lmc,1=连
xdh,1=项
xxs,1=些
tbd,1=头
ssd,1=送
hsi,1=红
jii,1=级
bhh,1=帮
hdc,1=黄
pnk,1=品
jms,1=见
yug,1=鱼
bzs,1=北
vrc,1=转
kkt,1=考
hek,1=喝
til,1=题
zib,1=字
ijw,1=产
ihs,1=常
ubv,1=收
dve,1=队
aae,1=阿
udy,1=双
lqw,1=刘
kbk,1=口
gem,1=格
bkb,1=包
hzs,1=黑
jia,1=记
lak,1=啦
vur,1=住
jcc,1=较
fgp,1=风
ook,1=哦
irb,1=穿
njt,1=男
mlf,1=卖
qyu,1=清
jcw,1=交
jda,1=讲
rbs,1=肉
gds,1=光
bkr,1=保
glv,1=改
hou,1=活
xde,1=香
fhd,1=房
sih,1=死
tbf,1=投
siv,1=司
fzg,1=费
qxs,1=且
jct,1=教
yah,1=亚
ref,1=热
hrf,1=换
ufu,1=深
thu,1=汤
qqw,1=球
slb,1=赛
uis,1=师
rjp,1=然
jus,1=局
nak,1=哪
lsh,1=龙
qyx,1=情
jxf,1=接
ubd,1=首
yrk,1=员
ufd,1=神
uhw,1=商
mul,1=目
yil,1=易
njy,1=难
drp,1=段
jub,1=句
yph,1=云
yhm,1=样
jnr,1=仅
jpt,1=均
gsc,1=共
pmp,1=片
wup,1=物
gol,1=果
idr,1=创
mnv,1=民
uea,1=设
qqh,1=求
fuh,1=副
mju,1=满
pzs,1=配
vjs,1=展
plf,1=拍
dkp,1=岛
dlr,1=代
vdd,1=装
guf,1=古
yiw,1=意
jpd,1=军
qip,1=气
uus,1=属
wzi,1=维
qik,1=器
cgs,1=层
zgt,1=增
lqu,1=流
vfj,1=镇
zkl,1=早
pjv,1=盘
tvf,1=推
mjw,1=蛮
nai,1=纳
jij,1=几
bjl,1=办
zox,1=座
vga,1=证
jmr,1=件
dca,1=调
bav,1=巴
lyk,1=另
uia,1=试
pmg,1=篇
lmh,1=联
yir,1=亿
ufp,1=身
jxc,1=节
ksb,1=空
fjs,1=饭
wzk,1=味
xyl,1=星
fjp,1=反
vbd,1=州
jqp,1=久
erp,1=儿
heu,1=河
ynj,1=银
lep,1=乐
hoq,1=火
seg,1=色
pkz,1=跑
vuu,1=注
jxg,1=解
byz,1=病
wuw,1=务
kkp,1=靠
dcf,1=掉
wjl,1=晚
trs,1=团
gdx,1=广
tmt,1=田
bou,1=波
nqp,1=牛
bjd,1=半
yyc,1=英
iac,1=茶
hak,1=哈
gfm,1=根
ljd,1=兰
uik,1=史
geh,1=歌
jqu,1=酒
piv,1=皮
bml,1=边
qpv,1=群
zjp,1=赞
iam,1=查
dsx,1=懂
boh,1=博
hwh,1=画
iif,1=持
lqp,1=留
ued,1=社
ffd,1=粉
whr,1=往
gsr,1=供
jxr,1=街
fuy,1=服
kyt,1=块
bab,1=八
bid,1=必
viu,1=治
tat,1=塔
uic,1=世
rgr,1=仍
aop,1=奥
zuz,1=足
yru,1=源
gbb,1=购
jdu,1=江
qxh,1=切
uid,1=视
bzm,1=杯
yjl,1=眼
qrm,1=权
jiy,1=鸡
bcm,1=标
bjw,1=班
nis,1=尼
cia,1=词
uum,1=树
coj,1=错
kux,1=库
roc,1=若
gkf,1=搞
sve,1=随
yre,1=院
yhd,1=养
kkq,1=烤
jxi,1=结
lbm,1=楼
yua,1=语
bus,1=步
ybr,1=优
pud,1=普
xpa,1=讯
fud,1=福
sof,1=索
sfm,1=森
vpd,1=准
mom,1=模
wuk,1=吴
lyr,1=领
keb,1=客
pmr,1=偏
goj,1=锅
fzv,1=飞
lcd,1=料
lmy,1=脸
xic,1=希
law,1=辣
vuc,1=著
xiu,1=洗
jyw,1=京
hud,1=户
qyq,1=青
gry,1=观
jyd,1=精
blh,1=百
jiv,1=己
lou,1=洛
vrh,1=专
yyl,1=影
mgm,1=梦
jxt,1=界
ykc,1=药
vkl,1=照
huu,1=湖
zkp,1=造
suc,1=苏
qih,1=七
uit,1=士
ugt,1=声
jie,1=季
man,1=妈
ghu,1=港
fgg,1=峰
irp,1=川
jde,1=降
yrs,1=园
lxh,1=列
uau,1=沙
vhu,1=涨
yek,1=叶
hoc,1=获
mjx,1=慢
fub,1=富
plu,1=派
yak,1=呀
xtp,1=血
xcm,1=校
vsr,1=众
rfa,1=认
vut,1=煮
iue,1=除
sit,1=思
grb,1=官
ikq,1=炒
ugy,1=圣
yuv,1=预
gvh,1=规
qrs,1=圈
vkt,1=赵
jud,1=举
noa,1=诺
xqr,1=修
mzm,1=梅
yjt,1=盐
hrw,1=环
kea,1=课
jyl,1=景
hor,1=货
jit,1=吉
lpa,1=论
vit,1=志
txj,1=铁
xua,1=许
pob,1=破
hjr,1=含
tkl,1=套
pcs,1=票
fhe,1=防
clp,1=采
plp,1=牌
zoh,1=左
dag,1=答
gbv,1=狗
qir,1=企
qil,1=奇
lzy,1=雷
xml,1=显
bud,1=补
wah,1=瓦
hju,1=汉
qyc,1=轻
tja,1=谈
suq,1=素
cji,1=参
ssm,1=松
ukq,1=烧
ens,1=恩
dkr,1=倒
ouh,1=欧
ufr,1=什
lpc,1=轮
jrd,1=卷
lgd,1=冷
rsb,1=容
tut,1=土
tyr,1=停
uip,1=氏
jcg,1=角
yuw,1=玉
tof,1=托
tmp,1=甜
uak,1=啥
sii,1=丝
xcg,1=笑
iph,1=春
jif,1=技
khx,1=康
lzc,1=勒
bjm,1=板
xqe,1=秀
clb,1=财
qmp,1=千
wfu,1=温
pax,1=怕
xii,1=细
cph,1=存
yhe,1=阳
xme,1=限
dis,1=迪
dix,1=底
llc,1=莱
qcm,1=桥
xcu,1=消
suh,1=速
rvw,1=瑞
tlh,1=泰
yur,1=余
dkv,1=导
iud,1=初
drw,1=端
yjb,1=研
xur,1=徐
yid,1=义
vup,1=朱
isd,1=冲
txb,1=贴
fup,1=复
uhr,1=伤
spz,1=孙
eeb,1=额
bzb,1=贝
yju,1=演
yel,1=野
jqs,1=旧
mkv,1=猫
qnw,1=亲
yng,1=引
xmg,1=鲜
tsi,1=统
ljc,1=蓝
jtd,1=觉
lir,1=例
lih,1=丽
uac,1=杀
lmi,1=练
uef,1=摄
