dep,1=的
uil,1=是
lev,1=了
zlh,1=在
hee,1=和
wop,1=我
ybh,1=有
buh,1=不
yih,1=一
jqd,1=就
vsk,1=中
rfr,1=人
yev,1=也
hfp,1=很
nir,1=你
dbt,1=都
uhs,1=上
hvr,1=会
wzd,1=为
hkn,1=好
dkh,1=到
dvv,1=对
dah,1=大
tar,1=他
dgg,1=等
ykh,1=要
dop,1=多
hlh,1=还
nmp,1=年
uoa,1=说
qut,1=去
llh,1=来
yuh,1=与
ngv,1=能
hbp,1=后
bzd,1=被
yiv,1=以
ggh,1=更
jdd,1=将
djr,1=但
xcs,1=小
erh,1=而
kjp,1=看
ger,1=个
ysp,1=用
goh,1=过
zvl,1=最
iik,1=吃
rha,1=让
byd,1=并
ril,1=日
keh,1=可
xwh,1=下
zor,1=做
dit,1=地
csr,1=从
mzu,1=没
xnd,1=新
lil,1=里
gzi,1=给
gkd,1=高
jwb,1=家
xdm,1=想
dms,1=点
iuv,1=出
hoh,1=或
tan,1=她
vid,1=之
tlh,1=太
bfm,1=本
qic,1=其
baf,1=把
dig,1=第
ybv,1=又
bih,1=比
qmd,1=前
mlv,1=买
nav,1=那
run,1=如
gla,1=该
aak,1=啊
bak,1=吧
uuv,1=书
igh,1=成
sop,1=所
yrh,1=元
mfr,1=们
clh,1=才
jip,1=及
nzs,1=内
qya,1=请
vet,1=者
vik,1=只
yty,1=月
sjh,1=三
xyx,1=性
tab,1=它
mak,1=吗
klh,1=开
ybs,1=由
gos,1=国
fav,1=发
xtd,1=学
ieh,1=车
xyp,1=行
ffp,1=分
uid,1=市
ugp,1=生
nek,1=呢
dhs,1=当
dmd,1=店
vih,1=至
zip,1=自
nnr,1=您
jwv,1=加
quh,1=区
uvu,1=水
qrr,1=全
aip,1=爱
tmh,1=天
vhv,1=张
mzd,1=美
xdp,1=向
myp,1=名
daf,1=打
qit,1=起
gfz,1=跟
jnj,1=金
bud,1=部
wjh,1=万
dlh,1=带
luz,1=路
yns,1=因
whw,1=王
uih,1=事
ziv,1=子
xdr,1=像
mmh,1=面
hwr,1=化
wzr,1=位
xmp,1=先
cis,1=此
mzp,1=每
tus,1=图
fhd,1=方
jyi,1=经
zbt,1=走
tss,1=同
qtt,1=却
lkt,1=老
yes,1=业
jnh,1=进
tyf,1=挺
zes,1=则
clc,1=菜
whs,1=网
ldh,1=两
uks,1=少
gsp,1=公
fau,1=法
zsd,1=总
lzd,1=类
xnx,1=心
iht,1=场
vfh,1=真
xms,1=县
uir,1=使
wfd,1=问
hkk,1=号
xmi,1=线
kee,1=科
xmw,1=现
yyd,1=应
dkd,1=道
vjd,1=站
rup,1=入
cid,1=次
vkf,1=找
vud,1=主
dud,1=度
sic,1=斯
kyx,1=快
jim,1=机
ubf,1=手
xxd,1=写
xyh,1=型
wlp,1=外
kas,1=卡
vgh,1=正
lim,1=李
gep,1=各
nvn,1=女
ldl,1=量
tep,1=特
xih,1=西
qdv,1=强
sis,1=四
dir,1=低
qmj,1=钱
lie,1=利
dsh,1=动
mav,1=马
wjb,1=完
iup,1=处
fzs,1=非
hvs,1=回
uud,1=数
guy,1=股
hwc,1=花
ubp,1=受
jmd,1=间
liv,1=力
tif,1=提
mbc,1=某
jic,1=基
ujs,1=山
pyh,1=平
laf,1=拉
wjw,1=玩
anb,1=安
ige,1=称
nar,1=拿
vir,1=值
wzh,1=未
gsh,1=工
vse,1=种
ytt,1=越
xnr,1=信
dyb,1=定
hlu,1=海
tsv,1=通
erp,1=尔
hwa,1=话
juf,1=据
mid,1=米
xip,1=系
myl,1=明
ikt,1=超
srg,1=算
tir,1=体
tyk,1=听
lnm,1=林
liw,1=理
svs,1=岁
krt,1=款
grd,1=关
vif,1=指
grg,1=管
dml,1=电
xrp,1=选
tcp,1=条
njh,1=南
her,1=合
lvd,1=率
bxk,1=别
anf,1=按
bkf,1=报
jnp,1=近
tlv,1=台
ghs,1=刚
uib,1=实
cgd,1=曾
igt,1=城
bjp,1=版
dua,1=读
bmd,1=变
jir,1=集
jck,1=叫
vbp,1=周
yti,1=约
ifv,1=陈
mep,1=么
uva,1=谁
ybu,1=油
zid,1=资
gjh,1=感
cpm,1=村
mfd,1=门
ffr,1=份
gvk,1=贵
bch,1=表
zui,1=组
jiv,1=即
jwr,1=价
jmv,1=建
iad,1=差
vip,1=制
xuh,1=需
djd,1=单
blp,1=白
los,1=罗
lmh,1=连
xdh,1=项
xxs,1=些
tbd,1=头
ssd,1=送
hsi,1=红
jii,1=级
bhh,1=帮
hdc,1=黄
pnk,1=品
jms,1=见
yup,1=鱼
bzs,1=北
vrh,1=转
kkt,1=考
hek,1=喝
til,1=题
zib,1=字
ijd,1=产
ihs,1=常
ubv,1=收
aav,1=阿
udv,1=双
lqd,1=刘
kbk,1=口
gem,1=格
bkp,1=包
hzs,1=黑
jia,1=记
lak,1=啦
vur,1=住
jch,1=较
fgp,1=风
ook,1=哦
irb,1=穿
njs,1=男
mlh,1=卖
qyu,1=清
jcd,1=交
jda,1=讲
rbs,1=肉
gds,1=光
bkr,1=保
glv,1=改
hou,1=活
xde,1=香
sih,1=死
tbf,1=投
siv,1=司
fzv,1=费
qxs,1=且
jct,1=教
yah,1=亚
ref,1=热
hrf,1=换
ufu,1=深
thu,1=汤
qqw,1=球
slb,1=赛
uis,1=师
rjp,1=然
juv,1=局
nak,1=哪
lsh,1=龙
qyx,1=情
jxf,1=接
ubd,1=首
yrk,1=员
ufd,1=神
uhd,1=商
mus,1=目
yil,1=易
njv,1=难
drp,1=段
jup,1=句
yph,1=云
yhm,1=样
jnr,1=仅
jpt,1=均
gsc,1=共
pmp,1=片
wup,1=物
gol,1=果
idr,1=创
bkb,1=宝
mnv,1=民
uea,1=设
qqh,1=求
wzp,1=微
fuh,1=副
mju,1=满
pzh,1=配
vjv,1=展
plf,1=拍
dkp,1=岛
dlr,1=代
vdd,1=装
guh,1=古
yid,1=意
jpd,1=军
qip,1=气
wzi,1=维
qik,1=器
cgv,1=层
zgt,1=增
lqu,1=流
vfj,1=镇
zkl,1=早
pjp,1=盘
lid,1=立
tvf,1=推
mjd,1=蛮
nai,1=纳
bjv,1=办
zod,1=座
vga,1=证
jmr,1=件
dca,1=调
bav,1=巴
lyk,1=另
uia,1=试
pmg,1=篇
vjs,1=占
yir,1=亿
ufp,1=身
jxc,1=节
ksb,1=空
fjp,1=饭
wzk,1=味
xyl,1=星
vbd,1=州
jqp,1=久
heu,1=河
ynj,1=银
lep,1=乐
hoq,1=火
sep,1=色
pkz,1=跑
vuu,1=注
jxp,1=解
kkp,1=靠
dcf,1=掉
wjl,1=晚
trk,1=团
gdd,1=广
tms,1=田
bou,1=波
nqp,1=牛
bjd,1=半
yyc,1=英
iac,1=茶
hak,1=哈
gfm,1=根
ljd,1=兰
uik,1=史
geh,1=歌
jqu,1=酒
piv,1=皮
bmv,1=边
qpv,1=群
zjp,1=赞
iam,1=查
dsx,1=懂
boh,1=博
hwh,1=画
iif,1=持
lqp,1=留
ued,1=社
ffd,1=粉
whp,1=往
gsr,1=供
fuy,1=服
kyt,1=块
bap,1=八
bix,1=必
viu,1=治
tat,1=塔
uic,1=世
rgr,1=仍
aop,1=奥
zuz,1=足
yru,1=源
gbs,1=购
jdu,1=江
qxh,1=切
bzm,1=杯
yjs,1=眼
qrm,1=权
bcm,1=标
jus,1=具
bjw,1=班
niv,1=尼
cia,1=词
uum,1=树
coj,1=错
kud,1=库
roc,1=若
gkf,1=搞
svv,1=随
yrv,1=院
yhd,1=养
kkq,1=烤
jxi,1=结
lbm,1=楼
yua,1=语
bus,1=步
ybr,1=优
pud,1=普
xpa,1=讯
fud,1=福
soh,1=索
sfm,1=森
vpd,1=准
mom,1=模
wuk,1=吴
lyr,1=领
keb,1=客
pmr,1=偏
goj,1=锅
gbp,1=够
lcd,1=料
lmy,1=脸
lad,1=辣
vuc,1=著
xiu,1=洗
jyd,1=京
hud,1=户
qyh,1=青
grv,1=观
blh,1=百
lou,1=洛
yyl,1=影
mgm,1=梦
jxs,1=界
ykc,1=药
vkl,1=照
huu,1=湖
zkp,1=造
suc,1=苏
qih,1=七
uit,1=士
ugt,1=声
jie,1=季
man,1=妈
ghu,1=港
fgs,1=峰
irp,1=川
yrs,1=园
lxh,1=列
uau,1=沙
vhu,1=涨
yek,1=叶
hoc,1=获
mjx,1=慢
fub,1=富
plu,1=派
yak,1=呀
xtp,1=血
xcm,1=校
vsr,1=众
rfa,1=认
vut,1=煮
grb,1=官
ikq,1=炒
ugv,1=圣
yuv,1=预
gvh,1=规
qrs,1=圈
vkt,1=赵
jud,1=举
noa,1=诺
xqr,1=修
mzm,1=梅
yjt,1=盐
hrw,1=环
kea,1=课
jyl,1=景
hor,1=货
jit,1=吉
lpa,1=论
vit,1=志
txj,1=铁
xua,1=许
poh,1=破
hjr,1=含
tkh,1=套
pch,1=票
fhv,1=防
clp,1=采
plp,1=牌
zoh,1=左
dag,1=答
qir,1=企
lzh,1=雷
xml,1=显
wah,1=瓦
hju,1=汉
tja,1=谈
suh,1=素
cjv,1=参
ssm,1=松
ukq,1=烧
enk,1=恩
dkr,1=倒
ouh,1=欧
ufr,1=什
lph,1=轮
jrd,1=卷
lgd,1=冷
rsb,1=容
tut,1=土
tyr,1=停
uip,1=氏
jcp,1=角
yuw,1=玉
tof,1=托
tmp,1=甜
uak,1=啥
sii,1=丝
xcg,1=笑
iph,1=春
jif,1=技
khd,1=康
lzc,1=勒
bjm,1=板
xqe,1=秀
cls,1=财
qmp,1=千
wfu,1=温
pax,1=怕
xii,1=细
cph,1=存
yhv,1=阳
xmv,1=限
dis,1=迪
did,1=底
llc,1=莱
qcm,1=桥
xcu,1=消
rvw,1=瑞
yur,1=余
dkv,1=导
iud,1=初
drd,1=端
ugy,1=胜
yjh,1=研
xup,1=徐
vup,1=朱
isd,1=冲
txs,1=贴
fup,1=复
uhr,1=伤
spv,1=孙
eeb,1=额
yju,1=演
yel,1=野
jqs,1=旧
mkp,1=猫
qnd,1=亲
ynv,1=引
tsi,1=统
ljc,1=蓝
sit,1=寺
jtd,1=觉
lir,1=例
lih,1=丽
uap,1=杀
lmi,1=练
uef,1=摄
lup,1=鲁
uvs,1=睡
bhm,1=棒
thd,1=唐
dph,1=顿
jpv,1=君
gsb,1=宫
ldd,1=亮
gkp,1=告
xit,1=喜
hjh,1=韩
qth,1=确
moc,1=莫
xdi,1=乡
xyd,1=兴
hem,1=核
huh,1=胡
ynd,1=音
rsh,1=融
sac,1=萨
vus,1=助
fjc,1=范
lts,1=略
hlv,1=孩
